Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-04),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,"Blue (Impact, Shock)",Rainbow Energy (JP),059/059,Rare,1st Edition,BGS 9.0 Mint,Near Mint,0.0000,1,0,0,false,2026-04-19,
Main,Pokemon,Celebrations,Pikachu,005/025,Holo Rare,Holofoil,BGS 9.0 Mint,Near Mint,0.0000,1,123.75,0,false,2026-04-19,
Main,Pokemon,Celebrations: Classic Collection,______'s Pikachu,24/53,Classic Collection,Holofoil,BGS 9.0 Mint,Near Mint,0.0000,1,69.43,0,false,2026-04-19,
Main,Pokemon,Celestial Storm,Alolan Raticate GX,85,Ultra Rare,Holofoil,BGS 9.0 Mint,Near Mint,0.0000,1,0,0,false,2026-05-26,
Main,Pokemon,Generations,Charizard EX,11,Ultra Rare,Holofoil,BGS 8.5 NM-MT+,Near Mint,0.0000,1,16.5,0,false,2026-04-19,
Main,Pokemon,Generations: Radiant Collection,Charizard,RC5,Uncommon,Holofoil,BGS 8.5 NM-MT+,Near Mint,0.0000,1,34,0,false,2026-04-19,
Main,Pokemon,Miscellaneous Cards & Products,Charizard EX (JP),012,Rare,Holofoil,BGS 9.0 Mint,Near Mint,0.0000,1,0,0,false,2026-04-19,
Main,Pokemon,M Master Deck Build Box Power Style,Xerneas EX,023/049,None,Normal,BGS 9.5 Gem Mint,Near Mint,0.0000,1,0,0,false,2026-04-19,
Main,Pokemon,Obsidian Flames,Charizard ex,228/197,Hyper Rare,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,141,0,false,2026-04-19,
Main,Pokemon,Scarlet & Violet Promo,Charizard ex,056,Promo,Holofoil,BGS 9.5 Gem Mint,Near Mint,0.0000,1,42.61,0,false,2026-04-19,
