Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Cert Number,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-04),Price Override,Watchlist,Date Added,Notes
Main,Pokemon,Brilliant Stars,Pikachu V (Full Art),157/172,Ultra Rare,Holofoil,CGC 8.5 NM/Mint+,,Near Mint,0.0000,1,12.27,0,false,2026-04-26,
Main,Pokemon,Brilliant Stars Trainer Gallery,Eevee,TG11/TG30,Ultra Rare,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,68.23,0,false,2026-05-02,
Main,Pokemon,Celebrations: Classic Collection,Blastoise,2/102,Classic Collection,Holofoil,CGC 9.0 Mint,,Near Mint,0.0000,1,22.99,0,false,2026-04-26,
Main,Pokemon,Celebrations: Classic Collection,Dark Gyarados,8/82,Classic Collection,Holofoil,CGC 9.0 Mint,,Near Mint,0.0000,1,23.29,0,false,2026-05-02,
Main,Pokemon,Clay Burst,Tyranitar (JP),079/071,Secret Rare,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,25.23,0,false,2026-05-02,
Main,Pokemon,Eevee Heroes VMAX Special Set,Espeon VMAX (JP),004/004,Common,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,21.99,0,false,2026-05-01,
Main,Pokemon,Evolutions,M Charizard EX,13/108,Ultra Rare,Holofoil,CGC 8.5 NM/Mint+,,Near Mint,0.0000,1,39.23,0,false,2026-05-02,
Main,Pokemon,Evolving Skies,Cresselia (Secret),228/203,Secret Rare,Holofoil,CGC 8.0 NM/Mint,,Near Mint,0.0000,1,0,0,false,2026-04-26,
Main,Pokemon,ex Starter Set Marnie's Morpeko & Grimmsnarl ex,Marnie's Morpeko,020/019,Promo,Holofoil,CGC 10.0 Pristine,,Near Mint,0.0000,1,74.99,0,false,2026-05-02,
Main,Pokemon,Glory of Team Rocket,Team Rocket's Persian ex (JP),118/098,Secret Rare,Holofoil,CGC 10.0 Pristine,,Near Mint,0.0000,1,30,0,false,2026-05-02,
Main,Pokemon,Inferno X,Mega Charizard X ex,013/080,Double Rare,Holofoil,CGC 10.0 Pristine,,Near Mint,0.0000,1,36.5,0,false,2026-05-02,
Main,Pokemon,Lost Origin Trainer Gallery,Charizard,TG03/TG30,Ultra Rare,Holofoil,CGC 8.5 NM/Mint+,,Near Mint,0.0000,1,31.33,0,false,2026-05-01,
Main,Pokemon,McDonald's Promo (2025),Pikachu,020/M-P,Common,Normal,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,64.8,0,false,2026-05-02,
Main,Pokemon,MEGA Dream ex,Mega Charizard X ex,223/193,Mega Attack Rare,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,57.67,0,false,2026-04-26,
Main,Pokemon,MEGA Dream ex,Mega Dragonite ex,126/193,Double Rare,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,21.58,0,false,2026-04-26,
Main,Pokemon,MEGA Dream ex,Mega Dragonite ex,232/193,Mega Attack Rare,Holofoil,CGC 10.0 Pristine,,Near Mint,0.0000,1,63.33,0,false,2026-05-01,
Main,Pokemon,MEGA Dream ex,Mega Gengar ex,230/193,Mega Attack Rare,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,49.56,0,false,2026-04-26,
Main,Pokemon,Mega Evolution Promos,Haunter,027,Illustration Rare,Holofoil,CGC 8.5 NM/Mint+,,Near Mint,0.0000,1,47.95,0,false,2026-05-01,
Main,Pokemon,M Master Deck Build Box Power Style,Charizard EX,001/049,None,Normal,CGC 9.0 Mint,,Near Mint,25.0000,2,0,0,false,2026-05-01,
Main,Pokemon,Old Maid,Mew (JP),,Rare,Normal,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,14.55,0,false,2026-05-02,
Main,Pokemon,Pokemon 151,Charmeleon (JP),169/165,Art Rare,Holofoil,CGC 9.0 Mint,,Near Mint,0.0000,1,29,0,false,2026-05-01,
Main,Pokemon,Premium Champion Pack,Xerneas EX (JP),090/131,Rare,Holofoil,CGC 9.5 Mint+,,Near Mint,0.0000,1,0,0,false,2026-05-01,
Main,Pokemon,Scarlet & Violet Promo,Espeon ex - 175,SVP 175,Promo,Holofoil,CGC 9.0 Mint,,Near Mint,0.0000,1,24.35,0,false,2026-05-02,
Main,Pokemon,Scarlet & Violet Promo,Pikachu (Pokemon Center Exclusive),027,Promo,Holofoil,CGC 8.0 NM/Mint,,Near Mint,0.0000,1,89,0,false,2026-04-26,
Main,Pokemon,Scarlet & Violet Promo,Snorlax,051,Promo,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0,1,63.17,0,false,2026-05-02,
Main,Pokemon,Scarlet & Violet Promo JP,Pikachu (JP),001/SV-P,Promo,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,38.67,0,false,2026-05-02,
Main,Pokemon,Shining Synergy (Shower),Pikachu (CN),153/150,CHR,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,122,0,false,2026-05-02,
Main,Pokemon,Shining Synergy (Supreme),Mimikyu (CN),151/150,CHR,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0.0000,1,21.49,0,false,2026-05-02,
Main,Pokemon,Shiny Treasure ex,Natu (JP),256/190,Shiny,Holofoil,CGC 10.0 Gem Mint,,Near Mint,0,1,20,0,false,2026-05-01,
Main,Pokemon,Sword & Shield Promo,Charizard V,SWSH260,Promo,Holofoil,CGC 7.5 NM+,,Near Mint,0.0000,1,40,0,false,2026-05-02,
Main,Pokemon,Sword & Shield Promo,Flareon V,SWSH179,Promo,Holofoil,CGC 7.0 NM,,Near Mint,0.0000,1,61,0,false,2026-05-01,
Main,Pokemon,Terastal Festival ex,Espeon ex (JP),211/187,Special Art Rare,Holofoil,CGC 8.5 NM/Mint+,,Near Mint,0.0000,1,72,0,false,2026-05-01,
Main,Pokemon,VSTAR Universe,Charizard VSTAR (JP),014/172,Ultra Rare,Holofoil,CGC 8.5 NM/Mint+,,Near Mint,0.0000,1,11,0,false,2026-04-26,
Main,Pokemon,VSTAR Universe,Rayquaza VMAX (JP),108/172,Ultra Rare,Holofoil,CGC 9.0 Mint,,Near Mint,0,1,19.99,0,false,2026-05-02,
