Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-04),Price Override,Watchlist,Date Added,Notes
Main,One Piece,500 Years In The Future,Sabo (Parallel) (JP),OP07-118,SEC,Foil,Ungraded,Near Mint,0.0000,1,3.8,0,false,2026-05-03,
Main,Pokemon,Destined Rivals,Arven's Mabosstiff ex,139/182,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.53,0,false,2026-05-02,
Main,Pokemon,Destined Rivals,Ethan's Ho-oh ex,209/182,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,4.85,0,false,2026-05-02,
Main,Pokemon,Destined Rivals,Team Rocket's Crobat ex,122/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,2,0.72,0,false,2026-05-03,
Main,Pokemon,Destined Rivals,Team Rocket's Mewtwo ex,081/182,Double Rare,Holofoil,Ungraded,Near Mint,0.0000,3,1.82,0,false,2026-05-03,
Main,Pokemon,Journey Together,Hop's Wooloo,170/159,Illustration Rare,Holofoil,Ungraded,Near Mint,0.0000,1,4.44,0,false,2026-05-02,
Main,Pokemon,Journey Together,Spiky Energy,190/159,Hyper Rare,Holofoil,Ungraded,Near Mint,0,1,4.23,0,false,2026-05-02,
Main,Pokemon,Journey Together,Volcanion ex,171/159,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,0.98,0,false,2026-05-02,
Main,Pokemon,Mega Evolution,Mega Latias ex,100/132,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.59,0,false,2026-05-02,
Main,Pokemon,Mega Evolution,Spearow,151/132,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,4.67,0,false,2026-05-02,
Main,Pokemon,Mega Evolution Promos,Charcadet,022,Promo,Holofoil,Ungraded,Near Mint,0,2,2.81,0,false,2026-05-02,
Main,Pokemon,Mega Evolution Promos,Tyrunt,070,Promo,Holofoil,Ungraded,Near Mint,0,1,2.88,0,false,2026-05-02,
Main,Pokemon,Nihil Zero,Rowlet,082/080,Art Rare,Holofoil,Ungraded,Near Mint,0.0000,1,3.41,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Clefairy,094/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,22.7,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Drapion,097/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,1.41,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Gengar,050/088,Rare,Holofoil,Ungraded,Near Mint,0,1,0.52,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Lapras ex,022/088,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.59,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Mega Clefable ex,031/088,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.55,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Mega Zygarde ex,047/088,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.53,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Raticate,099/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,2.47,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Salazzle ex,016/088,Double Rare,Holofoil,Ungraded,Near Mint,0,1,0.49,0,false,2026-05-02,
Main,Pokemon,Perfect Order,Spewpa,089/088,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,1.88,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Dewgong,097/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,5.28,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Empoleon ex,070/094,Double Rare,Holofoil,Ungraded,Near Mint,0,3,0.59,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Firebreather,119/094,Ultra Rare,Holofoil,Ungraded,Near Mint,0,1,0.9,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Flygon,101/094,Illustration Rare,Holofoil,Ungraded,Near Mint,0,1,5.74,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Mega Charizard X ex,013/094,Double Rare,Holofoil,Ungraded,Near Mint,0,1,4.17,0,false,2026-05-02,
Main,Pokemon,Phantasmal Flames,Mega Diancie ex,041/094,Double Rare,Holofoil,Ungraded,Near Mint,0,2,0.71,0,false,2026-05-02,
